"Author","A_1","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_2","A_20","A_3","A_4","A_5","A_6","A_7","A_8","A_9","B_1","B_10","B_11","B_12","B_13","B_14","B_15","B_16","B_17","B_18","B_19","B_2","B_20","B_3","B_4","B_5","B_6","B_7","B_8","B_9","C_1","C_10","C_11","C_12","C_13","C_14","C_15","C_16","C_17","C_18","C_19","C_2","C_20","C_3","C_4","C_5","C_6","C_7","C_8","C_9","similarity_heatmap.png","similarity_scores.csv"
"A_7",0.370233000623825,0.396182317988498,0.381913544798742,0.409124012350736,0.41107474426105,0.404701747732753,0.341893999544257,0.302629276553609,0.378868302371077,0.296062970718956,0.391435640061097,0.440433273758352,0.232767092696066,0.379234058669319,0.340609064314604,0.386535667605366,0.364510621831743,0,0.372311107335722,0.309261289435667,1.34710334464186,1.37386024821737,1.33083777146773,1.35503322649446,1.34530844591308,1.35549237902207,1.36075006582467,1.37729968445036,1.37453461453671,1.35943551478671,1.37167047226004,1.31388673461774,1.32800816546029,1.38941096148359,1.29001749262224,1.35134895112267,1.37080444646359,1.34798521217228,1.32905273319092,1.31231009779817,1.33262236479501,1.31956165979918,1.32318682714373,1.3004155138717,1.22522690178195,1.3389062776312,1.33250851555391,1.32143533384223,1.36146192411133,1.33161628919415,1.30800402597265,1.35760150364507,1.34583184192953,1.28329012778383,1.25912058693511,1.31533202965733,1.34938586023324,1.27181421916006,1.34027767503056,1.33769642215541,1.03868516106264,1.03540045556576
"A_8",0.353337653967503,0.363512651947925,0.297162911361724,0.3866737916273,0.316706274212743,0.375880481078854,0.355154461504959,0.358444860859065,0.314802707730275,0.376261422720924,0.399247594072615,0.342914256902744,0.208567901994875,0.344258398150936,0.298358199937429,0.341971618689177,0.389229163492283,0.372311107335722,0,0.341725108255249,1.35571157204376,1.4024494803826,1.36080810112845,1.38877242256918,1.38052602839533,1.39538880023428,1.39465749240764,1.35434133811649,1.39460286406687,1.36738663635628,1.38370717583653,1.35477126311724,1.39001593411793,1.37283495783212,1.34193254658508,1.38452280229665,1.35030728708976,1.34904274811524,1.36192929069528,1.38922539113217,1.33496691727258,1.25877616189709,1.33437224325329,1.3014755800049,1.30303721874532,1.38274416849901,1.28150565465194,1.29070159130834,1.32664265679243,1.36131182150155,1.32249319173461,1.32112216949089,1.34828611503618,1.31844373669461,1.26013176399705,1.27527253994429,1.35454551764888,1.32802541152808,1.29567219412155,1.31077940623653,0.996570933686598,1.00469890100227
"A_9",0.385790158110329,0.424115107828983,0.354450515973978,0.333275972084336,0.340410492792301,0.369200448791319,0.333200979840853,0.327282289811241,0.321705503340858,0.347639503160842,0.357845636345407,0.375116777658042,0.299071290103703,0.352947842162122,0.370220660508612,0.371381177122536,0.331264613776967,0.309261289435667,0.341725108255249,0,1.36209121354054,1.41051171234669,1.3510941457166,1.38761801263042,1.36676860636143,1.39822910459434,1.40577993275771,1.38027099100277,1.38059984734208,1.36741753803401,1.3978136028556,1.39350591216743,1.40844245155616,1.41361442986764,1.34673506989462,1.39727696700804,1.39447224783056,1.39222079559447,1.3386246043623,1.38711581870763,1.28462283064932,1.27549443265793,1.30453590393616,1.28111707585959,1.29972073895474,1.35818412358788,1.27205568435788,1.29668953526823,1.35024959480744,1.33614985902612,1.25228494694339,1.26673621830621,1.33563408075014,1.24792667091796,1.26053864146308,1.29597965745555,1.34227210086685,1.2856734101277,1.3287533544082,1.27830950354382,1.01906556762806,1.02114271539837
"B_1",1.31380067233848,1.31015648005416,1.32985288492109,1.3230294814479,1.33528189685673,1.30195026043623,1.35493613721133,1.34939882262821,1.34155634586186,1.32314652438088,1.27768403199155,1.31071519042534,1.34436467509254,1.27503621179685,1.32355888751442,1.32681092120501,1.32030554053681,1.34710334464186,1.35571157204376,1.36209121354054,0,0.452650971052949,0.470211213735648,0.534415946328997,0.470107031732254,0.440860601656655,0.486662310113819,0.496024135624558,0.483585893123998,0.453311775811471,0.469435875127366,0.480911190234594,0.480624668967315,0.477621503088693,0.521310150937086,0.387326941865868,0.501483372220217,0.409886702656027,0.573416300293369,0.480217859848532,1.19622743476599,1.22408771532196,1.2054753928277,1.17339974415658,1.22910999429996,1.21866766509643,1.21347403709863,1.2204654865276,1.15842759983691,1.20628824577684,1.20973103448481,1.18136155772585,1.22540239110635,1.15461695902521,1.2086238577864,1.19915737110617,1.18323629377681,1.1695317738987,1.20069769129797,1.23166427116103,1.04353394298018,1.03851480047733
"B_10",1.37671531695354,1.33328584024019,1.37694784667318,1.32408234790359,1.35902961582494,1.3447586969945,1.39379980261855,1.40595655189528,1.36687707923666,1.3761983354342,1.37521419048485,1.35456762708016,1.41428444711052,1.39467492043064,1.40564754403907,1.32892531297841,1.30940242353611,1.37386024821737,1.4024494803826,1.41051171234669,0.452650971052949,0,0.432462540117082,0.441403354448244,0.463292185494911,0.416576653712697,0.356545447514784,0.432397764637075,0.39198794204345,0.437871428256573,0.415015051388088,0.445375309439372,0.421732594424856,0.458356727459939,0.440254850626204,0.450643896446608,0.362520751685946,0.385568475679364,0.414509329482157,0.495709836288869,1.23071226188307,1.19661886379173,1.22682644985744,1.18013420489106,1.20555688847411,1.22275746555225,1.21263166575312,1.20982528042971,1.16438854520664,1.14849973014553,1.23395470281124,1.18009465560362,1.22716245070375,1.18713794833176,1.21682542123661,1.20650035618821,1.20557634221358,1.15584866367212,1.22031544962836,1.17980703733216,1.01847579214256,1.02050016603422
"B_11",1.3870897547305,1.35352949065061,1.34179540003826,1.30903546629858,1.37620758899988,1.33766131325179,1.39172164217323,1.34435496616684,1.34168574834877,1.38024674800891,1.31701090105337,1.34741436472776,1.36053366343335,1.37853906035668,1.3728342278345,1.33410652555506,1.33556424961135,1.33083777146773,1.36080810112845,1.3510941457166,0.470211213735648,0.432462540117082,0,0.399089782727257,0.396227059894458,0.462674899047224,0.353650691799713,0.385648102271104,0.424552180312087,0.426391075759828,0.442823588036787,0.446862068314329,0.409984595747315,0.41289468443677,0.479769276911593,0.398634239387207,0.376575855764584,0.496417701117744,0.429656816520754,0.490917310507338,1.24414051923042,1.22130769139242,1.23239984127083,1.17744383034745,1.20281414308989,1.21209757050295,1.21185965520346,1.19414525909417,1.2320042228021,1.23916698015772,1.25384067848015,1.23760016821379,1.18773846066659,1.18593723205396,1.26338481169376,1.19439600647357,1.23653036804474,1.19107356135168,1.2044130610679,1.23080922866686,1.0408440673472,1.03666396003047
"B_12",1.38307547509009,1.3360091106072,1.36071309062511,1.34852404502689,1.36040968974525,1.35591414284323,1.35840144156405,1.35118586471582,1.37066027846666,1.33687903184991,1.35781291417572,1.33647432294204,1.37828351396261,1.34877327394314,1.37109831565984,1.33821666364143,1.33294122359631,1.35503322649446,1.38877242256918,1.38761801263042,0.534415946328997,0.441403354448244,0.399089782727257,0,0.434734086683804,0.356234251931539,0.3582180448656,0.328957265463777,0.362383896323772,0.411696829153877,0.339100975402337,0.394722194920342,0.371370744866011,0.379879964460984,0.449576700076888,0.446296638158975,0.389390988721421,0.491615098459564,0.360588857289045,0.39899355237736,1.23157224505851,1.2516863154544,1.25008106458514,1.24719411418166,1.18536299969527,1.21940103604221,1.24110483821617,1.22107831272507,1.22717212725114,1.23485548617377,1.26201443350199,1.21507213282084,1.23450396005713,1.1758074531809,1.28962219834928,1.22654480541603,1.22795243111698,1.26038070690846,1.22853123412987,1.25920061187631,1.0373667401528,1.03454722663263
"B_13",1.36497778092193,1.3246823720335,1.34596237155687,1.33441208141313,1.37590807743476,1.3025238433479,1.32050580098574,1.33608202719614,1.35401090227495,1.34122892593974,1.26728797796157,1.3265925600922,1.3717404031173,1.3585798468953,1.38165458557014,1.31314445100136,1.34347682947851,1.34530844591308,1.38052602839533,1.36676860636143,0.470107031732254,0.463292185494911,0.396227059894458,0.434734086683804,0,0.438509703732151,0.416327078276589,0.465169480611254,0.432640535672573,0.382152842069735,0.400617251018408,0.418985070244908,0.410329309013529,0.341108894423952,0.463594186687208,0.449249026864592,0.4326374958853,0.443078627410144,0.479979586532257,0.427925816786062,1.23705979187016,1.22594658813519,1.26306124760065,1.18795264378489,1.22061913730893,1.18718025189472,1.25805415602318,1.25959523569208,1.24239303600472,1.18325339749764,1.24081591486292,1.22820755280194,1.24490805938999,1.18058722658614,1.28569553118313,1.21473903411576,1.24407926895477,1.24368864602278,1.22056966042714,1.13387763902556,1.02027822759489,1.02224823957944
"B_14",1.39158749377262,1.36096235596414,1.35804699198473,1.3658384160518,1.38510483198028,1.33856286852428,1.37560998550315,1.37552367743951,1.3445582434957,1.36329465775463,1.36591197220992,1.3509570459927,1.41252647254903,1.36811656317711,1.40449287180199,1.38175293046185,1.36057470369138,1.35549237902207,1.39538880023428,1.39822910459434,0.440860601656655,0.416576653712697,0.462674899047224,0.356234251931539,0.438509703732151,0,0.414950019963918,0.349816163487848,0.38013876538078,0.361426246118773,0.330259828467324,0.456298728553382,0.363021409637165,0.432509691737675,0.483329193350343,0.417923361329681,0.440988861609217,0.386725232040434,0.463656514491332,0.291269463264395,1.24890083748335,1.23847569970975,1.21605036827082,1.23514779166121,1.24430384237614,1.23683214035199,1.22085543786402,1.18075916607951,1.18260302719373,1.21097636361413,1.23589434105986,1.23851405611805,1.22698922552715,1.21375655141672,1.2206694366434,1.18551245104167,1.20179215138288,1.21054652223465,1.22894174131207,1.22584896960114,1.00428614551352,1.01039796717638
"B_15",1.4079541599527,1.37999457482698,1.35961034032558,1.37379725211264,1.40765905618693,1.34635383433329,1.40411193370548,1.3746913247847,1.38096918363863,1.37522464550522,1.34049047824674,1.3659430022583,1.40286478973902,1.36980619598394,1.42126049351328,1.40249735942855,1.39090991290467,1.36075006582467,1.39465749240764,1.40577993275771,0.486662310113819,0.356545447514784,0.353650691799713,0.3582180448656,0.416327078276589,0.414950019963918,0,0.36690819096882,0.287669935946714,0.356411275955483,0.299133390823654,0.340207192271829,0.333942338501273,0.446948173184283,0.435404456538031,0.417660292524627,0.304763689429227,0.461151468727286,0.397129497366076,0.453874034039183,1.24105759246779,1.23167568544462,1.22666686435302,1.20584597067031,1.23454134343363,1.23014493867788,1.24196100012719,1.18738581778101,1.17182612297668,1.23129768574758,1.25971499064075,1.20495964867792,1.23078648900925,1.18929863418701,1.25461745393694,1.24244897344916,1.25205312421323,1.23166583333589,1.2349061163819,1.24322157716038,1.01243582110295,1.01630671727017
