"A_1" "A_10" "A_11" "A_12" "A_13" "A_14" "A_15" "A_16" "A_17" "A_18" "A_19" "A_2" "A_20" "A_3" "A_4" "A_5" "A_6" "A_7" "A_8" "A_9" "B_1" "B_10" "B_11" "B_12" "B_13" "B_14" "B_15" "B_16" "B_17" "B_18" "B_19" "B_2" "B_20" "B_3" "B_4" "B_5" "B_6" "B_7" "B_8" "B_9" "C_1" "C_10" "C_11" "C_12" "C_13" "C_14" "C_15" "C_16" "C_17" "C_18" "C_19" "C_2" "C_20" "C_3" "C_4" "C_5" "C_6" "C_7" "C_8" "C_9" "similarity_heatmap.png" "similarity_scores.csv"
"climate" 0.392156862745098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.390625 0 0 0 0 0.854700854700855 0.858369098712446 0.873362445414847 0.858369098712446 0.840336134453782 0.836820083682008 0.862068965517241 0.881057268722467 0.87719298245614 1.31004366812227 0.873362445414847 0.87719298245614 0.865800865800866 1.27659574468085 0.829875518672199 0.865800865800866 0.836820083682008 0.869565217391304 0.840336134453782 0.873362445414847 1.03626943005181 1.46341463414634 0.975609756097561 0.943396226415094 0.934579439252336 1.97044334975369 0.943396226415094 0.938967136150235 0.975609756097561 0.99009900990099 0.980392156862745 0.961538461538462 1.45631067961165 1.42857142857143 0.980392156862745 0.985221674876847 1 1.02040816326531 0.995024875621891 0.956937799043062 0 0
"environmental" 0.392156862745098 0.373134328358209 0.373134328358209 0.36231884057971 0.37593984962406 0.37593984962406 0.377358490566038 0.37037037037037 0.37593984962406 0.738007380073801 0.37593984962406 0.384615384615385 0.497512437810945 0.392156862745098 0.387596899224806 0.390625 0.395256916996047 0.386100386100386 0.37037037037037 0.373134328358209 1.28205128205128 0.858369098712446 1.31004366812227 0.858369098712446 0.840336134453782 0.836820083682008 0.862068965517241 0.881057268722467 0.87719298245614 0.873362445414847 0.873362445414847 0.87719298245614 0.865800865800866 0.851063829787234 0.829875518672199 1.2987012987013 0.836820083682008 0.869565217391304 1.26050420168067 0.873362445414847 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.980392156862745 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"as" 1.17647058823529 0.746268656716418 0.746268656716418 0.72463768115942 0.75187969924812 0.75187969924812 0.754716981132076 0.740740740740741 0.75187969924812 0.738007380073801 0.75187969924812 0.769230769230769 0.995024875621891 0.784313725490196 0.775193798449612 0.78125 0.790513833992095 0.772200772200772 0.740740740740741 0.746268656716418 0.854700854700855 0.858369098712446 0.873362445414847 0.858369098712446 0.840336134453782 0.836820083682008 0.862068965517241 0.881057268722467 0.87719298245614 0.873362445414847 0.873362445414847 0.87719298245614 0.865800865800866 0.851063829787234 1.2448132780083 0.865800865800866 0.836820083682008 0.869565217391304 0.840336134453782 0.873362445414847 0 0 0.48780487804878 0.471698113207547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"carbon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.392156862745098 0 0 0 0 0 0 0.854700854700855 0.858369098712446 1.31004366812227 0.858369098712446 1.26050420168067 0.836820083682008 1.29310344827586 1.3215859030837 0.87719298245614 0.873362445414847 1.31004366812227 1.31578947368421 0.865800865800866 1.27659574468085 1.2448132780083 1.73160173160173 0.836820083682008 0.869565217391304 0.840336134453782 0.873362445414847 0.518134715025907 0.48780487804878 0.975609756097561 1.41509433962264 0.934579439252336 0.492610837438424 0.943396226415094 0.469483568075117 1.46341463414634 0.99009900990099 0.490196078431373 1.44230769230769 0.970873786407767 0.476190476190476 0.490196078431373 0.985221674876847 0.5 0.510204081632653 0.995024875621891 0.478468899521531 0 0
"data" 1.56862745098039 1.49253731343284 1.49253731343284 1.44927536231884 1.12781954887218 1.12781954887218 1.13207547169811 1.48148148148148 1.12781954887218 1.8450184501845 1.12781954887218 1.92307692307692 1.49253731343284 1.56862745098039 1.55038759689922 1.171875 1.18577075098814 1.54440154440154 1.11111111111111 1.86567164179104 0 0 0.436681222707424 0 0 0 0 0 0 0.436681222707424 0 0 0 0 0 0 0.418410041841004 0 0.420168067226891 0 0 0 0 0 0 0 0.471698113207547 0 0 0 0 0 0.485436893203884 0.476190476190476 0 0 0 0 0 0.478468899521531 0 0
"a" 0.392156862745098 0.373134328358209 0.373134328358209 0.36231884057971 0.37593984962406 0.37593984962406 0.377358490566038 0.37037037037037 0.37593984962406 0.3690036900369 0.37593984962406 0.384615384615385 0.497512437810945 0.392156862745098 0.387596899224806 0.390625 0.395256916996047 0.386100386100386 0.37037037037037 0.373134328358209 0.427350427350427 0.429184549356223 0.436681222707424 0.429184549356223 0.420168067226891 0.418410041841004 0.431034482758621 0.440528634361233 0.43859649122807 0.436681222707424 0.436681222707424 0.43859649122807 0.432900432900433 0.425531914893617 0.4149377593361 0.432900432900433 0.418410041841004 0.434782608695652 0.420168067226891 0.436681222707424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.6666666666667
"waste" 0 0 0.373134328358209 0 0 0 0 0 0 0 0.37593984962406 0 0 0 0 0 0.395256916996047 0 0 0 0.854700854700855 1.28755364806867 0.873362445414847 1.28755364806867 1.26050420168067 1.67364016736402 1.29310344827586 0.881057268722467 0.87719298245614 0.873362445414847 0.873362445414847 0.87719298245614 1.73160173160173 1.27659574468085 1.2448132780083 1.2987012987013 0.836820083682008 1.30434782608696 0.840336134453782 1.31004366812227 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.970873786407767 0.476190476190476 0.490196078431373 0.985221674876847 1 1.02040816326531 0.497512437810945 0.478468899521531 0 0
"green" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.392156862745098 0 0 0 0 0 0 0.854700854700855 1.28755364806867 0.873362445414847 0.858369098712446 0.840336134453782 0.836820083682008 0.862068965517241 0.881057268722467 0.87719298245614 0.873362445414847 0.873362445414847 0.87719298245614 0.865800865800866 0.851063829787234 0.4149377593361 0.865800865800866 0.836820083682008 0.869565217391304 0.840336134453782 0.436681222707424 1.03626943005181 0.975609756097561 0.48780487804878 0.943396226415094 0.467289719626168 0.985221674876847 0.943396226415094 0.938967136150235 1.46341463414634 0.99009900990099 1.47058823529412 0.480769230769231 0.970873786407767 0.952380952380952 0.490196078431373 0.492610837438424 0.5 1.02040816326531 0.995024875621891 0.956937799043062 0 0
"like" 0 0 0.746268656716418 0 0 0 0 0 0 0 0 0.384615384615385 0 0 0.387596899224806 0.390625 0 0.386100386100386 0.37037037037037 0 1.28205128205128 1.28755364806867 1.31004366812227 1.28755364806867 1.26050420168067 1.25523012552301 1.29310344827586 1.3215859030837 1.31578947368421 1.31004366812227 1.31004366812227 1.75438596491228 1.2987012987013 1.27659574468085 1.2448132780083 1.2987012987013 1.25523012552301 1.30434782608696 1.26050420168067 1.31004366812227 0 0 0 0 0 0 0 0 0 0 0 0 0 0.476190476190476 0 0 0 0 0 0 0 0
"sustainable" 0.392156862745098 0.373134328358209 0.373134328358209 0.36231884057971 0.37593984962406 0.75187969924812 0.377358490566038 0.37037037037037 0.37593984962406 0.738007380073801 0.37593984962406 0.384615384615385 0.497512437810945 0.392156862745098 0.387596899224806 0.390625 0.395256916996047 0.386100386100386 0.37037037037037 0.373134328358209 1.28205128205128 0.429184549356223 0.436681222707424 0.429184549356223 0.420168067226891 0.836820083682008 0.431034482758621 0.440528634361233 0.43859649122807 0.436681222707424 0.436681222707424 0.43859649122807 0.432900432900433 0.851063829787234 0.4149377593361 0.432900432900433 0.418410041841004 0.869565217391304 0.420168067226891 0.873362445414847 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.980392156862745 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"global" 0.392156862745098 0 0 0 0 0 0 0 0 0 0 0.384615384615385 0 0.392156862745098 0 0 0.395256916996047 0 0.37037037037037 0 0.854700854700855 0.858369098712446 0.873362445414847 0.858369098712446 0.840336134453782 0.836820083682008 0.862068965517241 0.881057268722467 0.87719298245614 0.873362445414847 0.873362445414847 0.87719298245614 0.865800865800866 0.851063829787234 0.829875518672199 0.865800865800866 0.836820083682008 0.869565217391304 0.840336134453782 0.873362445414847 0.518134715025907 0.48780487804878 0.975609756097561 0.943396226415094 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"enabling" 0.784313725490196 0.746268656716418 0.746268656716418 0.72463768115942 0.75187969924812 0.75187969924812 0.754716981132076 0.740740740740741 0.75187969924812 0.738007380073801 0.75187969924812 0.769230769230769 0.995024875621891 1.17647058823529 1.16279069767442 0.78125 0.790513833992095 0.772200772200772 0.740740740740741 0.746268656716418 0.427350427350427 0 0 0 0 0 0 0 0 0 0 0.43859649122807 0 0 0 0 0 0 0 0 1.03626943005181 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"innovation" 0.784313725490196 0.746268656716418 0.746268656716418 0.72463768115942 0.75187969924812 0.75187969924812 0.754716981132076 0.740740740740741 0.75187969924812 0.738007380073801 0.75187969924812 0.769230769230769 0.995024875621891 0.784313725490196 0.775193798449612 0.78125 0.790513833992095 0.772200772200772 0.740740740740741 0.746268656716418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.970873786407767 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"renewable" 0.392156862745098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.386100386100386 0 0 0.427350427350427 0.858369098712446 0.873362445414847 0.429184549356223 0.420168067226891 0.418410041841004 0.431034482758621 0.881057268722467 0.43859649122807 0.436681222707424 0.436681222707424 0.87719298245614 0.865800865800866 0.851063829787234 0.4149377593361 0.865800865800866 1.25523012552301 0.434782608695652 0.840336134453782 0.436681222707424 0.518134715025907 0.48780487804878 0.975609756097561 0.943396226415094 0.934579439252336 0.492610837438424 0.471698113207547 0.938967136150235 0.48780487804878 0.99009900990099 0.980392156862745 0.480769230769231 0.970873786407767 0.476190476190476 0.490196078431373 0.985221674876847 0.5 0.510204081632653 0.497512437810945 0.956937799043062 0 0
"on" 0 0 0 0.36231884057971 0.75187969924812 0.75187969924812 0 1.11111111111111 0.37593984962406 0 0.37593984962406 0 0.497512437810945 0.392156862745098 0 0 0 0.772200772200772 0.37037037037037 0.373134328358209 0.427350427350427 0.429184549356223 1.31004366812227 0.429184549356223 0.420168067226891 0.418410041841004 0.431034482758621 0.881057268722467 0.87719298245614 0.873362445414847 0.436681222707424 0.43859649122807 0.432900432900433 0.425531914893617 0.4149377593361 0.865800865800866 0.418410041841004 0.434782608695652 1.26050420168067 0.436681222707424 0 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0 0 1.40845070422535 0 0.495049504950495 0 0 0.970873786407767 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0 0 0.478468899521531 0 0
"digital" 0.784313725490196 0.373134328358209 0.373134328358209 0.36231884057971 0.37593984962406 0.37593984962406 0.377358490566038 0.37037037037037 0.37593984962406 0.3690036900369 0.37593984962406 0.384615384615385 0 0 0 0.390625 0 0 0.37037037037037 0.373134328358209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.03626943005181 0.975609756097561 0.975609756097561 0.943396226415094 1.4018691588785 0.985221674876847 0.943396226415094 0.938967136150235 0.975609756097561 0.99009900990099 0.980392156862745 0.961538461538462 0.970873786407767 0.476190476190476 1.47058823529412 0.492610837438424 1 0.510204081632653 0.995024875621891 0.956937799043062 0 0
"while" 0 0 0 0 0 0.37593984962406 0 0 0 0.3690036900369 0 0 0 0 0 0.390625 0 0 0 0 0.427350427350427 0 0.436681222707424 0.429184549356223 0 0.418410041841004 0 0 0 0 0 0.43859649122807 0.432900432900433 0 0.4149377593361 0.432900432900433 0 0.434782608695652 0 0 1.03626943005181 0.975609756097561 0.975609756097561 0.943396226415094 0.934579439252336 0.985221674876847 0.943396226415094 1.40845070422535 0.975609756097561 0.99009900990099 0.980392156862745 0.961538461538462 0.970873786407767 0.952380952380952 0.980392156862745 0.985221674876847 1.5 1.02040816326531 0.995024875621891 0.956937799043062 0 0
"reduce" 0 0.746268656716418 0 0 0 0 0.377358490566038 0.37037037037037 0.37593984962406 0.3690036900369 0 0.384615384615385 0 0.392156862745098 0 0 0.395256916996047 0 0.37037037037037 0.373134328358209 0.427350427350427 0.429184549356223 1.31004366812227 0.858369098712446 0.840336134453782 0.836820083682008 1.29310344827586 0.881057268722467 0.87719298245614 0.436681222707424 0.873362445414847 0.43859649122807 0.432900432900433 0.851063829787234 0.829875518672199 0.432900432900433 1.25523012552301 0.434782608695652 0.840336134453782 0.873362445414847 0 0 0 0 0 0 0 0 0 0 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0 0 0 0.497512437810945 0 0 0
"models" 0.392156862745098 0.373134328358209 0.373134328358209 0.36231884057971 0.37593984962406 0.37593984962406 0.754716981132076 0.740740740740741 0.37593984962406 0.738007380073801 0.37593984962406 0.769230769230769 0.497512437810945 0.784313725490196 0.775193798449612 0.78125 0.395256916996047 0.386100386100386 0.37037037037037 0.373134328358209 0.427350427350427 0 0 0 0.420168067226891 0 0 0 0 0 0 0 0 0.425531914893617 0 0 0 0 0 0 0.518134715025907 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.980392156862745 0.492610837438424 0.5 0.510204081632653 0.995024875621891 0.478468899521531 0 0
"smart" 0.784313725490196 0.746268656716418 0.746268656716418 0.72463768115942 0.75187969924812 0.75187969924812 0.754716981132076 0.740740740740741 0.75187969924812 0.738007380073801 0.75187969924812 0.384615384615385 0.995024875621891 0.392156862745098 0.387596899224806 0.390625 0.395256916996047 0.772200772200772 0.740740740740741 0.746268656716418 0 0 0 0 0.420168067226891 0 0.431034482758621 0 0.43859649122807 0 0.436681222707424 0 0.432900432900433 0 0.4149377593361 0 0 0 0.420168067226891 0 0.518134715025907 0 0.48780487804878 0.471698113207547 0 0.492610837438424 0 0.469483568075117 0 0 0.490196078431373 0.480769230769231 0 0 0 0.492610837438424 0 0.510204081632653 0 0.478468899521531 0 0
"projects" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.427350427350427 0.858369098712446 0.436681222707424 0.429184549356223 0.840336134453782 0.418410041841004 0.431034482758621 0.440528634361233 0.43859649122807 0.436681222707424 0.436681222707424 0.87719298245614 0.432900432900433 1.27659574468085 0.4149377593361 0.432900432900433 0.836820083682008 0.434782608695652 0.420168067226891 0.436681222707424 0.518134715025907 0.48780487804878 0.48780487804878 0.943396226415094 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.99009900990099 0.980392156862745 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 1.49253731343284 0.478468899521531 0 0
"public" 0 0.373134328358209 0 0 0 0.37593984962406 0 0.37037037037037 0 0 0 0 0 0 0 0 0 0 0 0 0.427350427350427 0.858369098712446 0.436681222707424 0.858369098712446 0.420168067226891 0.418410041841004 0.862068965517241 0.440528634361233 0.43859649122807 0.436681222707424 0.436681222707424 0.43859649122807 0.432900432900433 0.425531914893617 0.4149377593361 0.432900432900433 0.418410041841004 0.434782608695652 0.840336134453782 0.436681222707424 1.03626943005181 0.975609756097561 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.980392156862745 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
"power" 0.784313725490196 0.746268656716418 1.11940298507463 0.72463768115942 0.75187969924812 0.75187969924812 0.754716981132076 1.11111111111111 0.75187969924812 0.738007380073801 0.75187969924812 0.769230769230769 0.995024875621891 0.784313725490196 0.775193798449612 0.78125 0.790513833992095 0.772200772200772 0.740740740740741 0.746268656716418 0 0.429184549356223 0.436681222707424 0 0 0.418410041841004 0 0 0.43859649122807 0 0 0 0 0 0 0.432900432900433 0 0 0 0 0 0 0 0 0 0 0 0.469483568075117 0 0 0 0 0 0 0 0.492610837438424 0 0 0 0 0 0
"infrastructure" 0.392156862745098 0 0.373134328358209 0 0 0 0 0 0 0.3690036900369 0 0 0 0 0 0 0 0.386100386100386 0 0 0.427350427350427 0.429184549356223 0.436681222707424 0.429184549356223 0.420168067226891 0.418410041841004 0.431034482758621 0.440528634361233 0.43859649122807 0.436681222707424 0.436681222707424 0.43859649122807 0.432900432900433 1.27659574468085 0.4149377593361 0.432900432900433 0.418410041841004 0.434782608695652 0.420168067226891 0.436681222707424 1.03626943005181 0.48780487804878 0.48780487804878 0.471698113207547 0.467289719626168 0.492610837438424 0.471698113207547 0.469483568075117 0.48780487804878 0.495049504950495 0.490196078431373 0.480769230769231 0.485436893203884 0.476190476190476 0.490196078431373 0.492610837438424 0.5 0.510204081632653 0.497512437810945 0.478468899521531 0 0
